symbol,date,aes,n_events,n_unknown_ref,p_spread_one_tick,mean_spread_ticks,median_spread_ticks,p90_spread_ticks,n_trades,price,volume,hidden_share,at_touch_displayed,mean_order_size,trades_per_second,effective_half_spread_ticks,quoted_half_spread_ticks,fill_A,fill_k,fill_r2,hawkes_self,hawkes_cross,hawkes_branching,hawkes_delta,hawkes_lambda,hawkes_ks,hawkes_ks_p,hawkes_branching_single,hawkes_ks_p_single,rv_1s,preavg,tsrv,kernel,noise_var,vol_preavg_pct,optimal_sampling,rv_10s,eta_mid,eta,eta_continuations,eta_alternations,eta_se,implicit_spread_ticks,uz_variance,uz_vol_pct,grid_rv_over_uz,variance_inflation_pred,qr_mean_queue_emp,qr_moves_simulated,qr_holding_s,qr_vol_pct,qr_vol_half_pct,qr_mean_queue_sim,glft_half_spread_flat,glft_half_spread_ticks
AAPL,2019-01-30,205.8474159168631,1668303,0,0.20387380723503581,2.2843526910097225,2.0,3.0,54264,163.1572458923043,9525992,0.11467026216272279,0.98951916495551,175.54901960784315,2.38,0.9139286019849417,0.9608119563614919,3.2390284355911834,174.333541242304,0.9754464367505713,0.7721464612201157,0.112553871237969,0.8847003324580847,0.6595925899821466,1.186975606573505,0.13315844461790127,0.0,0.817557945580858,0.0,0.0002345207689142508,0.00028691350325477533,0.00024266912518440377,0.00025621833410148054,0.0,1.6938521283003878,inf,0.00025477762986636293,0.5020257055043308,0.8565146956722981,7402,4321,0.016397873348228433,-0.7130293913445962,0.00033810285667064676,1.838757343073432,0.6905474671986465,0.5837611456363145,1.469616042826521,2000,0.3582768049331886,1.5663622814996263,0.7831811407498132,3.331078092985402,0.0058284162905455125,0.5828416290545513
AAPL,2019-03-27,156.51766031699086,2010139,0,0.22594099350856617,2.149096583963622,2.0,3.0,39687,188.48147255020535,5527779,0.11388769341176629,0.9883891828336273,139.28437523622344,1.740657894736842,0.7618659611992945,0.8132889863179379,3.0047617730076777,248.57943536099938,0.9287321959319368,0.7244405283183941,0.0959920100938576,0.8204325384122517,0.6284485182245365,0.8716061846976689,0.11061160804023551,1.2333127214722619e-164,0.7285574877556469,0.0,0.00017284420203268476,0.00019657139694483872,0.00016181301802289873,0.00018591569127334432,0.0,1.4020392182276453,inf,0.00019943279887753494,0.6169793019547241,0.7672464622641509,5205,3392,0.01693051111630929,-0.5344929245283019,0.00018919682228835043,1.3754883579600026,0.7865480913897673,0.6516810758885687,1.2911872402749327,2000,0.3778507275970519,1.320319784734687,0.6601598923673435,3.581945157305122,0.004089243130482171,0.40892431304821714
AAPL,2019-07-30,93.21799860696453,1315842,0,0.5334808642550577,1.5169276324383354,1.0,2.0,31930,208.56156529595992,4285477,0.14597534883514718,0.980173678575677,134.21475101785154,1.400438596491228,0.5853158333002895,0.6396335734419041,2.326906676672183,351.51691427345395,0.9035549612370507,0.6891925179194529,0.16221511726829763,0.8514076351877505,0.5269774006511553,0.7032121955724243,0.12251826474164951,3.909061214926695e-199,0.7441080842966592,0.0,5.603905714623227e-05,6.314279936815885e-05,7.176362227125045e-05,6.230288052650601e-05,0.0,0.7946244356182287,inf,6.1851304773272e-05,0.5226764511353973,0.6987577639751553,4275,3059,0.016547763342087633,-0.39751552795031064,5.698372134906335e-05,0.7548756278292693,0.7898175467958926,0.7155555555555555,3.184685524441693,2000,1.2017359095494435,0.6690662632389833,0.33453313161949166,5.5966669927800465,0.0028944958476795598,0.28944958476795596
AAPL,2019-08-30,104.54828121665281,1203774,0,0.30750022256541587,2.0129051136456084,2.0,3.0,36179,208.17445413637745,3530074,0.1604331807208574,0.9899810355315418,97.57245916139196,1.586798245614035,0.7285440297706373,0.7987230161143205,2.0884328198490176,220.86700620682203,0.967081834619829,0.7599523604637268,0.0996305511844421,0.8595829116481689,0.6603218092792847,0.7648256766125433,0.1583537711638532,5.8335271185266874e-263,0.7868912428536472,0.0,9.164340550277912e-05,9.523081793593912e-05,7.727371557410658e-05,9.143038159356935e-05,0.0,0.9758627871578008,inf,9.127643124590265e-05,0.5556449894652116,0.8000394788787999,4053,2533,0.020263589769657437,-0.6000789577575998,9.735103215380604e-05,0.9866662665451071,0.7485429012773454,0.6249691586479151,1.3542776788906659,2000,0.7443761268131389,0.8516953497981714,0.4258476748990857,3.1366809415850603,0.004603803821170715,0.4603803821170715
AAPL,2019-10-30,101.37317473407136,814002,0,0.19805761297421182,2.6213283912512084,2.0,4.0,38821,242.7232904768038,4361046,0.22311757316937267,0.9899306644367792,112.33729167203317,1.7026754385964913,1.0406769798961708,1.154800236985137,1.7285530084002327,131.90758827582366,0.9850526334420365,0.7456648638386583,0.09609050524308119,0.8417553690817394,0.6495743585955771,0.8544713013182882,0.19410807311866018,0.0,0.7874814490558876,0.0,8.188091932874713e-05,0.0001044520186686652,0.0001221838543759419,9.813797008559978e-05,0.0,1.022017703705103,inf,9.19803133193862e-05,0.44623692090300443,0.8549410698096102,3772,2206,0.022915299593574696,-0.7098821396192203,0.00010516080044234803,1.0254794022424245,0.7394876166971629,0.5848356309650053,1.7618776866263206,2000,0.7368367930830341,0.734193991249954,0.367096995624977,2.2841232785301138,0.007705472633656384,0.7705472633656384
AAPL,2019-12-30,99.4626358151197,1519360,0,0.12895520480055941,2.6356939187354285,3.0,4.0,42376,289.51502365017933,5174795,0.1123093765067022,0.9932258241456859,122.11617424957524,1.8585964912280701,0.9893138061543525,1.0461228053615255,3.453700151480389,200.75630054901916,0.9622422740911937,0.7620376995181734,0.10445619245192334,0.8664938919700967,0.6575815070662501,0.9339612300507878,0.173982135002532,0.0,0.7853773672382154,0.0,9.458880078234603e-05,0.00011886473460252755,0.0001239870222748191,0.00012828312215282982,0.0,1.090251047247961,inf,0.00011945774278076182,0.5944398558342093,1.1512875536480687,5365,2330,0.028564412626087478,-1.3025751072961373,0.0001353120202832985,1.1632369504245403,0.6167058748853379,0.4342963653308481,2.176357940111998,2000,0.7694204952098933,0.6023583683043111,0.30117918415215555,2.6593766922217688,0.005061610721042941,0.5061610721042941
AAPL,2020-01-30,96.68386508619787,2008469,0,0.01760986490778805,4.333991756176622,4.0,6.0,44514,321.46526229051534,4137930,0.1917330645999328,0.9951269096236061,92.95794581479984,1.9523684210526315,1.401440401805734,1.5901963427236376,3.0117863346900187,123.67826910462315,0.9795875525237107,0.7878176014081346,0.08495184779556664,0.8727694492037013,0.702865753612568,0.9782589992064002,0.1982415262235288,0.0,0.8105301638339877,0.0,0.00016525439742554076,0.00015656746175522583,0.0001395352789355274,0.00015476797932593045,1.9050464631959333e-11,1.2512692026707355,25655.311685559165,0.00015623232760981882,0.4055359698418793,0.9609848484848484,2537,1320,0.03261325608041259,-0.921969696969697,0.00017914927815881006,1.3384665784352259,0.7811045320523929,0.520299566417028,1.5377298779372528,2000,0.3626213259998665,0.7902185279073005,0.39510926395365026,1.856776269385373,0.008214093324819517,0.8214093324819517
AMZN,2019-01-30,45.80241616038427,938485,0,2.50436445605808e-05,53.8629098140143,50.0,82.0,29383,1653.2673124085356,1387281,0.3494692135191068,0.9978857109296999,47.213729026988396,1.2887280701754387,17.126947788806014,19.91743525167614,1.7593980713213864,9.707244852360558,0.9848321160678772,0.8023883850110491,0.10862659397275903,0.9110149789838082,0.69376179103829,0.6465437146031606,0.2289194110751382,0.0,0.809185502490611,0.0,0.00016764221828894065,0.00015741159696279215,0.00013041796007423067,0.00015400932039627598,2.2435769888658026e-11,1.2546377842341276,23087.51380560258,0.00015418199785823133,0.2608303249097473,3.3869565217391306,779,115,0.33834575499320213,-5.773913043478261,0.00021418988254376956,1.4635227451043238,0.832415873674221,0.14762516046213092,1.4726008884705557,2000,0.9556500504818574,0.09464886403839275,0.04732443201919637,1.6181143739611787,0.10460118975283036,10.460118975283036
AMZN,2019-03-27,42.257430877554526,1279122,0,9.885307833981402e-06,54.03683776365735,52.0,77.0,22480,1764.9968336565837,808681,0.25701605453819243,0.9960508701472557,35.97335409252669,0.9859649122807017,17.287650602409638,18.930649466192172,1.863442773403919,11.852662895836955,0.9519544476522099,0.7839696985873997,0.09293896759350166,0.8769086661809014,0.6910307309938981,0.49516522039099226,0.21487528059564764,2.4943139712137715e-303,0.7787788287353982,0.0,0.0001633448135985907,0.00017492976053045664,0.00018553099304701768,0.0001929988228267074,0.0,1.322610148647199,inf,0.00017497904514240684,0.3209963695038322,0.7066666666666667,106,75,0.10662777068607165,-0.41333333333333333,0.00017506743007593908,1.3231304927177028,0.9881292541194526,0.7075471698113207,0.9008331070806107,2000,1.0759199432746644,0.08355530315404178,0.04177765157702089,1.6148923452375208,0.08566865228404441,8.56686522840444
AMZN,2019-07-30,61.67440475557493,444441,0,6.092301113153981e-06,38.97669216371013,37.0,57.0,18089,1899.0941070540107,612067,0.26213143332347605,0.9960842325095719,33.836419923710544,0.7933771929824561,12.335352419074137,14.10962463375532,1.2483112816236779,14.512554837926954,0.9758603064173746,0.7730065187647887,0.09329131227285,0.8662978310376387,0.6797152064919386,0.40049220923380546,0.2662652477613602,0.0,0.7720253016503409,0.0,4.790692812894212e-05,7.187794462865064e-05,8.864557206404006e-05,8.720241534561029e-05,0.0,0.8478086141851274,inf,5.847105104682265e-05,0.3476134585289515,0.7176470588235294,122,85,0.10139270367355464,-0.4352941176470588,5.217820634623823e-05,0.7223448369458885,0.9821831065105935,0.6967213114754098,0.8507084419021229,2000,1.8137758544319391,0.05980942600645614,0.02990471300322807,1.0809657274694415,0.06997240415143532,6.997240415143533
